	TCGA-BT-A20N	TCGA-BT-A20Q
ARHGAP42	72.6159	43.2862
ARHGAP4	373.5783	169.6113
ARHGAP5	3516.1855	3028.2686
ARHGAP6	927.3841	901.0601
ARHGAP8	3.4996	5.3004
ARHGAP9	90.9886	15.0177
ARHGDIA	4701.6623	4507.9505
ARHGDIB	1246.7192	599.8233
ARHGDIG	1.7498	0.8834
ARHGEF10L	1189.8513	1845.4064
ARHGEF10	1225.7218	1256.1837
ARHGEF11	1836.3955	1707.5972
ARHGEF12	5597.5503	6324.2049
ARHGEF15	250.2187	166.0777
ARHGEF16	9.6238	5.3004
ARHGEF17	3903.762	4289.7527
ARHGEF18	972.8784	1310.0707
ARHGEF19	51.6185	33.5689
ARHGEF1	1189.8513	909.0106
ARHGEF2	1166.2292	1542.4028
ARHGEF33	11.3736	11.4841
ARHGEF35	34.1207	14.1343
ARHGEF37	1325.4593	1991.1661
ARHGEF38	0.0	0.0
ARHGEF3	1250.2187	576.8551
ARHGEF4	654.4182	903.7102
ARHGEF5	19.2476	12.3675
ARHGEF6	685.9143	696.1131
ARHGEF7	1041.9948	1100.7067
ARHGEF9	1900.2625	2675.7951
ARID1A	2458.4427	2357.7739
ARID1B	2244.0945	2272.9682
ARID2	769.9038	659.894
ARID3A	48.9939	25.6184
ARID3B	79.615	76.8551
ARID3C	0.0	0.8834
ARID4A	849.5188	851.5901
ARID4B	1120.7349	981.3869
ARID5A	9135.608	1651.9435
ARID5B	13426.0717	2525.6184
ARIH1	2410.3237	2036.2191
ARIH2	1882.7647	2336.5724
ARL10	62.9921	47.7032
ARL11	23.622	12.3675
ARL13A	0.0	0.0
ARL13B	356.9554	193.4629
ARL14	0.0	1.7668
ARL15	145.2318	140.4594
ARL16	323.7095	431.0954
ARL17A	56.7892	75.8657
ARL17B	1.8285	3.7456
ARL1	2244.0945	2856.0071
